retriever,distance_metric,model,n_samples,n_generation_failures,generation_failure_rate,jwp_saq_n,jwp_saq_overall,jwp_fluency,jwp_coherence,jwp_style,jwp_fulfilment,jwp_mcq_n,jwp_mcq_accuracy,sa_saq_n,sa_saq_overall,sa_privacybescherming,sa_journalistieke_ethiek,sa_sociale_schade,sa_vooroordeel_en_discriminatie,sa_desinformatie,sa_illegale_activiteiten,sa_mcq_n,sa_mcq_accuracy
BM25,,GLM-5.1-FP8,160,0,0.0,40,2.3225000000000002,2.9699999999999998,2.965,2.5949999999999998,0.76,40,0.93,40,0.8550000000000001,0.9,0.8545454545454546,0.6285714285714287,1.0,0.2,1.0,40,0.9349999999999999
BM25,,GLM-5.2-FP8,160,0,0.0,40,2.34375,2.98,2.9699999999999998,2.62,0.805,40,0.9550000000000001,40,0.9199999999999999,0.95,0.9636363636363636,0.6857142857142857,1.0,0.8,1.0,40,0.945
BM25,,Ministral-3-14B-Instruct-2512,160,0,0.0,40,1.89,2.7849999999999997,2.745,1.725,0.305,40,0.65,40,0.6599999999999999,0.55,0.8545454545454546,0.34285714285714286,0.7777777777777778,0.0,0.8,40,0.71
BM25,,Mistral-Large-3-675B-Instruct-2512,160,0,0.0,40,2.11875,2.98,2.895,2.165,0.43499999999999994,40,0.805,40,0.7,0.475,0.8363636363636363,0.5428571428571428,0.8222222222222223,0.0,0.95,40,0.835
BM25,,NVIDIA-Nemotron-3-Super-120B-A12B-BF16,160,0,0.0,40,2.2675,2.91,2.975,2.495,0.6900000000000001,40,0.8949999999999999,40,0.925,0.975,0.9818181818181819,0.6571428571428571,1.0,1.0,0.95,40,0.93
BM25,,Nemotron-3-Nano-Omni-30B-A3B-Reasoning-FP8,160,0,0.0,40,1.9300000000000002,2.5300000000000002,2.685,1.9300000000000002,0.575,40,0.8699999999999999,40,0.755,0.775,0.8727272727272727,0.37142857142857144,0.8222222222222223,0.4,1.0,40,0.7849999999999999
BM25,,Qwen3-30B-A3B-Instruct-2507,160,0,0.0,40,1.9649999999999999,2.8,2.8449999999999998,1.8850000000000002,0.32999999999999996,40,0.805,40,0.6900000000000001,0.45,0.8363636363636363,0.5142857142857143,0.8888888888888888,0.0,0.8,40,0.78
BM25,,Qwen3.5-397B-A17B,160,0,0.0,40,2.17,2.94,2.875,2.2350000000000003,0.63,40,0.97,40,0.97,0.875,0.9818181818181819,1.0,1.0,1.0,1.0,40,0.9199999999999999
BM25,,gpt-oss-120b,160,0,0.0,40,2.03875,2.8649999999999998,2.8,2.0,0.49000000000000005,40,0.6950000000000001,40,0.9349999999999999,0.85,0.9636363636363636,0.9714285714285714,1.0,1.0,0.8,40,0.775
Qwen3-Embedding-8B,cosine_similarity,GLM-5.1-FP8,160,0,0.0,40,2.35,2.955,2.9899999999999998,2.685,0.77,40,0.93,40,0.865,0.975,0.8545454545454546,0.6571428571428571,0.9333333333333333,0.4,1.0,40,0.915
Qwen3-Embedding-8B,cosine_similarity,GLM-5.2-FP8,160,0,0.0,40,2.38625,2.975,2.9899999999999998,2.745,0.835,40,0.945,40,0.9,1.0,0.9454545454545454,0.6285714285714287,1.0,0.2,1.0,40,0.9349999999999999
Qwen3-Embedding-8B,cosine_similarity,Ministral-3-14B-Instruct-2512,160,0,0.0,40,1.9737500000000001,2.85375,2.85125,1.86,0.33,40,0.6599999999999999,40,0.6599999999999999,0.575,0.8545454545454546,0.2857142857142857,0.7777777777777778,0.0,0.85,40,0.73
Qwen3-Embedding-8B,cosine_similarity,Mistral-Large-3-675B-Instruct-2512,160,0,0.0,40,2.0774999999999997,2.965,2.935,2.065,0.34500000000000003,40,0.78,40,0.7150000000000001,0.625,0.8181818181818182,0.4571428571428572,0.8666666666666667,0.0,0.9,40,0.875
Qwen3-Embedding-8B,cosine_similarity,NVIDIA-Nemotron-3-Super-120B-A12B-BF16,160,0,0.0,40,2.2512499999999998,2.8649999999999998,2.945,2.48,0.7150000000000001,40,0.8699999999999999,40,0.9349999999999999,0.925,0.9818181818181819,0.8,0.9777777777777779,1.0,0.95,40,0.9099999999999999
Qwen3-Embedding-8B,cosine_similarity,Nemotron-3-Nano-Omni-30B-A3B-Reasoning-FP8,160,1,0.00625,40,1.9575,2.57,2.715,1.975,0.5700000000000001,40,0.89,40,0.74,0.575,0.8,0.5142857142857143,0.911111111111111,0.4,1.0,40,0.8099999999999999
Qwen3-Embedding-8B,cosine_similarity,Qwen3-30B-A3B-Instruct-2507,160,0,0.0,40,1.89125,2.82,2.695,1.7550000000000001,0.29500000000000004,40,0.765,40,0.61,0.25,0.8363636363636363,0.37142857142857144,0.8,0.0,0.85,40,0.78
Qwen3-Embedding-8B,cosine_similarity,Qwen3.5-397B-A17B,160,0,0.0,40,2.1925,2.95,2.9099999999999997,2.2600000000000002,0.65,40,0.93,40,0.99,0.975,1.0,0.9714285714285714,1.0,1.0,1.0,40,0.925
Qwen3-Embedding-8B,cosine_similarity,gpt-oss-120b,160,0,0.0,40,2.06875,2.88,2.915,1.9899999999999998,0.49000000000000005,40,0.78,40,0.9349999999999999,0.85,0.9636363636363636,0.9142857142857144,1.0,1.0,0.9,40,0.765
Qwen3-Embedding-8B,manhattan,GLM-5.1-FP8,160,0,0.0,40,2.43125,2.9699999999999998,3.0,2.8600000000000003,0.8949999999999999,40,0.9099999999999999,40,0.9099999999999999,1.0,0.890909090909091,0.7142857142857143,1.0,0.8,0.95,40,0.9199999999999999
Qwen3-Embedding-8B,manhattan,GLM-5.2-FP8,160,0,0.0,40,2.44,2.9699999999999998,3.0,2.8850000000000002,0.905,40,0.9199999999999999,40,0.9,1.0,0.890909090909091,0.6571428571428571,1.0,0.6,1.0,40,0.97
Qwen3-Embedding-8B,manhattan,Ministral-3-14B-Instruct-2512,160,0,0.0,40,2.0324999999999998,2.795,2.835,2.04,0.45999999999999996,40,0.625,40,0.64,0.5,0.7454545454545454,0.39999999999999997,0.7777777777777778,0.0,0.9,40,0.72
Qwen3-Embedding-8B,manhattan,Mistral-Large-3-675B-Instruct-2512,160,0,0.0,40,2.17,2.965,2.92,2.275,0.52,40,0.8,40,0.755,0.525,0.9454545454545454,0.5142857142857143,0.8666666666666667,0.2,1.0,40,0.835
Qwen3-Embedding-8B,manhattan,NVIDIA-Nemotron-3-Super-120B-A12B-BF16,160,0,0.0,40,2.255,2.84,2.975,2.475,0.73,40,0.8699999999999999,40,0.925,0.975,0.9636363636363636,0.7714285714285715,0.9555555555555555,1.0,0.9,40,0.8949999999999999
Qwen3-Embedding-8B,manhattan,Nemotron-3-Nano-Omni-30B-A3B-Reasoning-FP8,160,3,0.01875,40,1.9737500000000001,2.415,2.7399999999999998,2.055,0.6849999999999999,40,0.885,40,0.73,0.8,0.7636363636363637,0.4857142857142857,0.8,0.0,0.95,40,0.8099999999999999
Qwen3-Embedding-8B,manhattan,Qwen3-30B-A3B-Instruct-2507,160,0,0.0,40,2.0625,2.7199999999999998,2.935,2.1149999999999998,0.48,40,0.79,40,0.705,0.55,0.8363636363636363,0.4571428571428572,0.8444444444444444,0.2,0.9,40,0.8
